133400,INF192K01GN5,-,JM Balanced Fund - Bonus Option - Principal Units,46.3841,46.3841,46.3841,26-Feb-2018
133403,INF192K01HT0,-,JM Balanced Fund - Half Yearly Bonus Option - Principal Units,46.3841,46.3841,46.3841,26-Feb-2018
133408,INF192K01HD4,INF192K01HE2,JM Balanced Fund - Half Yearly Dividend Option,33.0634,33.0634,33.0634,26-Feb-2018
133404,INF192K01HL7,INF192K01HM5,JM Balanced Fund - Monthly Dividend Option,32.8007,32.8007,32.8007,26-Feb-2018
133410,INF192K01HX2,-,JM Balanced Fund - Quarterly Bonus Option - Principal Units,46.3841,46.3841,46.3841,26-Feb-2018
133405,INF192K01HP8,INF192K01HQ6,JM Balanced Fund - Quarterly Dividend Option,11.7712,11.7712,11.7712,26-Feb-2018
100220,INF192K01528,INF192K01536,JM Balanced Fund-Dividend,12.6317,12.6317,12.6317,26-Feb-2018
100221,INF192K01544,-,JM Balanced Fund-Growth,45.1617,45.1617,45.1617,26-Feb-2018
100286,INF174K01443,INF174K01450,Kotak Balance,16.821,16.653,16.821,26-Feb-2018
133035,INF174K01F00,-,Kotak Balance - Direct Growth,25.97,25.71,25.97,26-Feb-2018
119767,INF174K01LL7,-,Kotak Balance - Dividend - Direct,18.253,18.07,18.253,26-Feb-2018
133036,INF174K01E92,-,Kotak Balance - Growth,24.382,24.138,24.382,26-Feb-2018
120260,INF767K01EC2,INF767K01EE8,LIC MF Balanced Fund-Direct Plan-Dividend,15.4408,15.2864,15.4408,26-Feb-2018
120261,INF767K01ED0,-,LIC MF Balanced Fund-Direct Plan-Growth,102.099,101.078,102.099,26-Feb-2018
100321,INF767K01022,INF767K01014,LIC MF Balanced Fund-Regular Plan-Dividend,14.7643,14.6167,14.7643,26-Feb-2018
100323,INF767K01030,-,LIC MF Balanced Fund-Regular Plan-Growth,97.8164,96.8382,97.8164,26-Feb-2018
119484,INF173K01FE6,-,Principal Balanced Fund- Direct Plan - Growth Option,79.53,78.73,79.53,26-Feb-2018
101266,INF173K01CI4,INF173K01CJ2,Principal Balanced Fund- Monthly Dividend,28.59,28.30,28.59,26-Feb-2018
119485,INF173K01FB2,INF173K01FC0,Principal Balanced Fund-Direct Plan - Monthly Dividend Option,32.44,32.12,32.44,26-Feb-2018
101265,INF173K01CL8,-,Principal Balanced Fund-Growth,75.68,74.92,75.68,26-Feb-2018
118794,INF204K01B08,-,Reliance Regular Savings Fund - Balanced Option  - Direct Plan Growth Plan,58.5027,57.9177,58.5027,26-Feb-2018
122766,INF204K011R2,INF204K012R0,Reliance Regular Savings Fund - Balanced Option - Direct Plan - Quarterly Dividend Plan,16.2430,16.0806,16.2430,26-Feb-2018
118793,INF204K01B16,INF204K01B24,Reliance Regular Savings Fund - Balanced Option - Direct Plan Dividend Plan,22.8056,22.5775,22.8056,26-Feb-2018
112937,INF204K01FX9,INF204K01FY7,Reliance Regular Savings Fund - Balanced Option - Dividend Plan,18.1419,17.9605,18.1419,26-Feb-2018
112936,INF204K01FW1,-,Reliance Regular Savings Fund - Balanced Option - Growth Plan,55.2420,54.6896,55.2420,26-Feb-2018
122765,INF204K013R8,INF204K014R6,Reliance Regular Savings Fund - Balanced Option - Quarterly Dividend Plan,15.8812,15.7224,15.8812,26-Feb-2018
